COD_ASL,COD_STRUTTURA ,DENOM_STRUTTURA,INDIRIZZO_UBICAZIONE,COD_ISTAT_COMUNE_UBICAZIONE,COMUNE_UBICAZIONE,CAP,PROV_COMUNE_UBICAZIONE,TOT_POSTI_AUTORIZZATI,TOT_POSTI_ORDINARI_ACCREDITATI,TOT_POSTI_ALZHEIMER_ACCREDITATI,TOT_POSTI_ACCREDITATI,DENOM_GESTORE,P_IVA,INDIRIZZO_SEDE_LEGALE,COD_ISTAT_COMUNE_SEDE_LEGALE,COMUNE_SEDE_LEGALE,PROV_SEDE_LEGALE,NATURA_GIURIDICA,PUBBLICA/PRIVATA,ONLUS,WGS84_X,WGS84_Y,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia,ATS Regione Lombardia,Comuni 2015 Polygon Semplificato Qgis
322,"000777",CARDINAL COLOMBO,VIA VERDI  5,012038,CASCIAGO,21020,VA,70,70,0,70,FONDAZIONE OPERA PIA COLLEONI DE MAESTRI ONLUS,03690110154,VIA COLLEONI 5,015062,CASTANO PRIMO,MI,FONDAZIONE,PRIVATO,SI,,,,,,,
326,001560,RSA LE RONDINI,VIA CAVIA LAVORO U. GNUTTI 4,017096,LUMEZZANE,25065,BS,125,100,20,120,FONDAZIONE LE RONDINI CITTÀ DI LUMEZZANE ONLUS,03024390985,VIA CAV. UMBERTO GNUTTI 4,017096,LUMEZZANE,BS,FONDAZIONE,PRIVATO,SI,,,,,,,
325,001443,RSA CASA DELLA SERENITÀ,VIA BATTISTA CAPRI  7,016070,CENE,24020,BG,50,50,0,50,COMUNE DI CENE,00240600163,PIAZZA ITALIA 14,016070,CENE,BG,COMUNE,PUBBLICO,NO,9.83105239,45.78304242,"(45.78304242, 9.83105239)",5,5,1,553
321,000477,SEN. C. PERINI,VIA CARROCCIO  1,015182,RHO,20017,MI,260,224,19,243,FONDAZIONE GIUSEPPE RESTELLI ONLUS,08938040154,VIA CARROCCIO 1,015182,RHO,MI,FONDAZIONE,PRIVATO,SI,9.03329319,45.53800138,"(45.53800138, 9.03329319)",4,4,8,701
324,001064,RSA VILLA SAN CLEMENTE,VIA GARIBALDI  77,108049,VILLASANTA,20852,MB,110,110,0,110,SEGESTA GESTIONI SRL,04140620966,VIALE CASSALA 16,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.30902123,45.60423527,"(45.60423527, 9.30902123)",12,12,5,858
327,001777,RSA CASA PACE,VIA CARLO MONTANARI  20,020030,MANTOVA,46100,MN,53,53,0,53,COOPERATIVA SOCIALE S.A.I. SERVIZI ASSISTENZIALI INTEGRATI,01593870353,VIA EMILIA ALL'OSPIZIO 19,035033,REGGIO NELL'EMILIA,RE,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,10.79699985,45.1618422,"(45.1618422, 10.79699985)",9,9,4,1048
325,001226,FONDAZIONE DON CARLO ZANONCELLO,VIA MATTEOTTI  2/A,016044,CALCIO,24054,BG,68,68,0,68,FONDAZIONE DON CARLO ZANONCELLO ONLUS,01983590165,VIA SAN FERMO 10,016044,CALCIO,BG,FONDAZIONE,PRIVATO,NO,9.84890599,45.51158966,"(45.51158966, 9.84890599)",5,5,1,510
322,000817,CASA DI RIPOSO SAN GIUSEPPE,VIALE MILANO  34,012139,VIGGIÙ,21059,VA,51,51,0,51,CONGREGAZIONE DELLE ANCELLE DI SAN GIUSEPPE LAVORATORE,00277020129,VIA SONZINI 8,012133,VARESE,VA,ENTE ECCLESIASTICO,PRIVATO,SI,8.89753356,45.86900502,"(45.86900502, 8.89753356)",1,1,3,252
324,001081,RSA CASA DI RIPOSO MADRE ADA BIANCHI,VIA DON MINZONI  21,108001,AGRATE BRIANZA,20864,MB,34,34,0,34,CONGREGAZIONE RELIGIOSA SERVE DI GESÙ CRISTO,00730170966,VIA DON MINZONI 21,108001,AGRATE BRIANZA,MB,ENTE ECCLESIASTICO,PRIVATO,NO,9.35255821,45.57772301,"(45.57772301, 9.35255821)",12,12,5,1287
323,000941,RSA LUCIA LORENZETTI,VIA FRANZONI  11,017007,ARTOGNE,25040,BS,30,30,0,30,COMUNE DI ARTOGNE(CASA DI RIPOSO L. LORENZETTI),00583310982,VIA IV NOVEMBRE 8,017007,ARTOGNE,BS,COMUNE,PUBBLICO,NO,10.16543944,45.84779615,"(45.84779615, 10.16543944)",6,6,7,498
322,002816,SAN CARLO BORROMEO - FATEBENEFRATELLI,VIA COMO  2,013255,,,CO,212,164,48,212,PROVINCIA LOMBARDO-VENETA DELL'ORDINE OSPEDALIERO DI SAN GIOVANNI DI DIO FATEBENEFRATELLI,01647730157,VIA PILASTRONI 4,017029,BRESCIA,BS,ENTE ECCLESIASTICO,PRIVATO,NO,,,,,,,
328,002183,SERENI ORIZZONTI VILLA VANNI,VIA A. VOLTA 5,018122,RIVANAZZANO TERME,27055,PV,30,30,0,30,SERENI ORIZZONTI 1 SPA,02833470301,VIA VITTORIO VENETO 45,030129,UDINE,UD,SOCIETA' PER AZIONI,PRIVATO,NO,9.01838317,44.91187909,"(44.91187909, 9.01838317)",7,7,6,1467
321,000288,RSA CASA DON GUANELLA,VIA CAGNOLA  11,015146,MILANO,20100,MI,128,128,0,128,ISTITUTO DELLE FIGLIE DI SANTA MARIA DELLA DIVINA PROVVIDENZA,01062811003,PIAZZA SAN PANCRAZIO 9,058091,ROMA,RM,ENTE ECCLESIASTICO,PRIVATO,SI,9.17270744,45.4781087,"(45.4781087, 9.17270744)",4,4,8,623
327,001812,ISTITUTO PER ANZIANI ISIDORO CAPPI ONLUS,VIA CAPPI  34,020042,POGGIO RUSCO,46025,MN,66,40,0,40,ISTITUTO PER ANZIANI ISIDORO CAPPI - ONLUS,01591210206,VIA CAPPI 34,020042,POGGIO RUSCO,MN,FONDAZIONE,PRIVATO,SI,11.12310783,44.97636355,"(44.97636355, 11.12310783)",9,9,4,905
324,001166,RSA  CASA DI RIPOSO L. E A. AGOSTONI,VIA BERNASCONI  14,108028,LISSONE,20851,MB,120,104,16,120,FONDAZIONE CASA DI RIPOSO L. E A. AGOSTONI - ONLUS,04254840962,VIA BERNASCONI 14,108028,LISSONE,MB,FONDAZIONE,PRIVATO,SI,9.23755653,45.62000718,"(45.62000718, 9.23755653)",12,12,5,1486
322,004838,FONDAZIONE RSA GARIBALDI POGLIANI ONLUS SEDE 3 FOSSANO,VIA GINEVRINA DA FOSSANO  20,013041,CANTÙ,22063,CO,120,,,0,FONDAZIONE R.S.A. GARIBALDI POGLIANI ONLUS,01798350136,VIA GALIMBERTI 4,013041,CANTU',CO,FONDAZIONE,PRIVATO,SI,9.13577608,45.73777796,"(45.73777796, 9.13577608)",2,2,3,184
327,001886,R.S.A. ERNESTA BOVI,VIA DONATORI DI SANGUE  10,020039,PEGOGNAGA,46020,MN,60,56,0,56,C.S.A. COOPERATIVA SERVIZI ASSISTENZIALI SOCIETÀ COOPERATIVA SOCIALE,01697440202,VIA GELSO 8,020030,MANTOVA,MN,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,10.85751976,44.99253439,"(44.99253439, 10.85751976)",9,9,4,1057
328,002125,FONDAZIONE  RICOVERO S. MARTINO,VIA CARSO  20,018164,TROMELLO,27020,PV,49,48,0,48,FOND. RICOVERO S. MARTINO,01090160183,VIA CARSO 20,018164,TROMELLO,PV,FONDAZIONE,PRIVATO,NO,8.87446954,45.20888448,"(45.20888448, 8.87446954)",7,7,6,1435
322,002837,ANTONIO VIVALDI,VIA SPARTA  18,013041,CANTÙ,22063,CO,120,120,0,120,CROCE DI MALTA SRL,03653930960,VIALE CASSALA 16,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.14284259,45.74626063,"(45.74626063, 9.14284259)",2,2,3,184
323,000950,FONDAZIONE CASA DI RIPOSO MADONNA DELLA NEVE ONLUS,LARGO DON AMBROGIO REDAELLI  3,014020,CHIURO,23030,SO,60,60,0,60,FONDAZIONE CASA DI RIPOSO MADONNA DELLA NEVE ONLUS,00709890149,LARGO DON AMBROGIO REDAELLI 3,014020,CHIURO,SO,FONDAZIONE,PRIVATO,SI,,,,,,,
326,001595,RSA - FONDAZIONE VILLA FIORI RSA ONLUS,VIA BELCOLLE  17,017117,NAVE,25075,BS,113,80,20,100,FONDAZIONE VILLA FIORI RSA ONLUS,01823600174,VIA BELCOLLE 17,017117,NAVE,BS,FONDAZIONE,PRIVATO,SI,10.27792053,45.58714,"(45.58714, 10.27792053)",6,6,2,1216
321,003610,RSA ORCHIDEA,VIA MILANO  51,015243,VITTUONE,20010,MI,20,20,0,20,AV VITTUONE S.R.L.,05944080968,VIA CAMPERIO 14,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,8.94893935,45.48220576,"(45.48220576, 8.94893935)",4,4,8,733
