county,technology,columns,type,number
Alachua,Optical,1,1,217
Alachua,Optical,1,2,105
Alachua,Optical,1,3,34124
Alachua,Optical,1,4,47365
Alachua,Optical,1,5,658
Alachua,Optical,1,6,3226
Alachua,Optical,1,7,6
Alachua,Optical,1,8,42
Alachua,Optical,1,9,263
Alachua,Optical,1,10,4
Alachua,Optical,1,11,20
Alachua,Optical,1,12,21
Alachua,Optical,1,13,0
Alachua,Optical,1,14,0
Baker,Optical,1,1,79
Baker,Optical,1,2,46
Baker,Optical,1,3,5610
Baker,Optical,1,4,2392
Baker,Optical,1,5,17
Baker,Optical,1,6,53
Baker,Optical,1,7,0
Baker,Optical,1,8,3
Baker,Optical,1,9,73
Baker,Optical,1,10,0
Baker,Optical,1,11,3
Baker,Optical,1,12,3
Baker,Optical,1,13,0
Baker,Optical,1,14,0
Bay,Optical,1,1,541
Bay,Optical,1,2,141
Bay,Optical,1,3,38637
Bay,Optical,1,4,18850
Bay,Optical,1,5,171
Bay,Optical,1,6,828
Bay,Optical,1,7,5
Bay,Optical,1,8,18
Bay,Optical,1,9,248
Bay,Optical,1,10,3
Bay,Optical,1,11,18
Bay,Optical,1,12,27
Bay,Optical,1,13,0
Bay,Optical,1,14,0
Bradford,Optical,2,1,41
Bradford,Optical,2,2,695
Bradford,Optical,2,3,5414
Bradford,Optical,2,4,3075
Bradford,Optical,2,5,28
Bradford,Optical,2,6,84
Bradford,Optical,2,7,0
Bradford,Optical,2,8,2
Bradford,Optical,2,9,65
Bradford,Optical,2,10,0
Bradford,Optical,2,11,2
Bradford,Optical,2,12,3
Bradford,Optical,2,13,0
Bradford,Optical,2,14,0
Brevard,Optical,1,1,277
Brevard,Optical,1,2,136
Brevard,Optical,1,3,115185
Brevard,Optical,1,4,97318
Brevard,Optical,1,5,643
Brevard,Optical,1,6,4470
Brevard,Optical,1,7,11
Brevard,Optical,1,8,39
Brevard,Optical,1,9,570
Brevard,Optical,1,10,11
Brevard,Optical,1,11,72
Brevard,Optical,1,12,76
Brevard,Optical,1,13,0
Brevard,Optical,1,14,0
Broward,Votomatic,1,1,4946
Broward,Votomatic,1,2,7826
Broward,Votomatic,1,3,177902
Broward,Votomatic,1,4,387703
Broward,Votomatic,1,5,1217
Broward,Votomatic,1,6,7104
Broward,Votomatic,1,7,54
Broward,Votomatic,1,8,135
Broward,Votomatic,1,9,795
Broward,Votomatic,1,10,37
Broward,Votomatic,1,11,74
Broward,Votomatic,1,12,122
Broward,Votomatic,1,13,0
Broward,Votomatic,1,14,0
Calhoun,Optical,1,1,78
Calhoun,Optical,1,2,0
Calhoun,Optical,1,3,2873
Calhoun,Optical,1,4,2155
Calhoun,Optical,1,5,10
Calhoun,Optical,1,6,39
Calhoun,Optical,1,7,0
Calhoun,Optical,1,8,1
Calhoun,Optical,1,9,90
Calhoun,Optical,1,10,1
Calhoun,Optical,1,11,2
Calhoun,Optical,1,12,3
Calhoun,Optical,1,13,0
Calhoun,Optical,1,14,0
Charlotte,Optical,2,1,170
Charlotte,Optical,2,2,2985
Charlotte,Optical,2,3,35426
Charlotte,Optical,2,4,29645
Charlotte,Optical,2,5,127
Charlotte,Optical,2,6,1462
Charlotte,Optical,2,7,6
Charlotte,Optical,2,8,15
Charlotte,Optical,2,9,182
Charlotte,Optical,2,10,3
Charlotte,Optical,2,11,18
Charlotte,Optical,2,12,12
Charlotte,Optical,2,13,0
Charlotte,Optical,2,14,0
Citrus,Optical,1,1,154
Citrus,Optical,1,2,54
Citrus,Optical,1,3,29767
Citrus,Optical,1,4,25525
Citrus,Optical,1,5,194
Citrus,Optical,1,6,1379
Citrus,Optical,1,7,5
Citrus,Optical,1,8,16
Citrus,Optical,1,9,270
Citrus,Optical,1,10,0
Citrus,Optical,1,11,18
Citrus,Optical,1,12,28
Citrus,Optical,1,13,2
Citrus,Optical,1,14,0
Clay,Optical,1,1,223
Clay,Optical,1,2,157
Clay,Optical,1,3,41736
Clay,Optical,1,4,14632
Clay,Optical,1,5,204
Clay,Optical,1,6,562
Clay,Optical,1,7,1
Clay,Optical,1,8,14
Clay,Optical,1,9,186
Clay,Optical,1,10,3
Clay,Optical,1,11,6
Clay,Optical,1,12,9
Clay,Optical,1,13,0
Clay,Optical,1,14,0
Collier,Votomatic,1,1,2070
Collier,Votomatic,1,2,1134
Collier,Votomatic,1,3,60450
Collier,Votomatic,1,4,29921
Collier,Votomatic,1,5,185
Collier,Votomatic,1,6,1400
Collier,Votomatic,1,7,7
Collier,Votomatic,1,8,34
Collier,Votomatic,1,9,122
Collier,Votomatic,1,10,4
Collier,Votomatic,1,11,10
Collier,Votomatic,1,12,29
Collier,Votomatic,1,13,0
Collier,Votomatic,1,14,0
Columbia,Optical,1,1,76
Columbia,Optical,1,2,615
Columbia,Optical,1,3,10964
Columbia,Optical,1,4,7047
Columbia,Optical,1,5,127
Columbia,Optical,1,6,258
Columbia,Optical,1,7,1
Columbia,Optical,1,8,7
Columbia,Optical,1,9,89
Columbia,Optical,1,10,2
Columbia,Optical,1,11,8
Columbia,Optical,1,12,5
Columbia,Optical,1,13,0
Columbia,Optical,1,14,0
DeSoto,Datavote,2,1,66
DeSoto,Datavote,2,2,568
DeSoto,Datavote,2,3,4256
DeSoto,Datavote,2,4,3320
DeSoto,Datavote,2,5,23
DeSoto,Datavote,2,6,157
DeSoto,Datavote,2,7,0
DeSoto,Datavote,2,8,0
DeSoto,Datavote,2,9,36
DeSoto,Datavote,2,10,3
DeSoto,Datavote,2,11,8
DeSoto,Datavote,2,12,2
DeSoto,Datavote,2,13,3
DeSoto,Datavote,2,14,3
Dixie,Datavote,1,1,22
