station_cod	date	time_utc	sa	ra
1070000016	2011-04-04	03:50:00	-999	-888
1070000002	2011-04-04	02:20:00	-999	-888
1180000023	2011-03-30	08:20:00	30	0
1170000010	2011-03-23	03:30:00	-999	-999
1410000001	2011-03-29	20:30:00	27	0
1260000005	2011-04-06	22:40:00	38	0
1140000004	2011-03-13	01:50:00	42	-888
1070000017	2011-04-02	14:10:00	-999	-888
1140000002	2011-03-15	02:10:00	108	-888
1080000031	2011-04-13	08:10:00	105	0
1220000008	2011-03-12	10:50:00	69	0
1010000004	2011-03-12	08:30:00	-999	-999
1070000007	2011-03-19	20:20:00	-999	-999
1150000004	2011-03-13	17:30:00	36	0
1080000012	2011-04-09	18:10:00	302	-888
1020000021	2011-03-14	18:30:00	27	-888
1020000004	2011-03-30	06:00:00	21	0
1140000011	2011-04-09	23:20:00	47	-888
1080000010	2011-04-06	19:50:00	306	-888
1150000002	2011-03-15	09:30:00	41	0
1020000005	2011-04-06	15:00:00	22	0
1010000003	2011-03-29	16:20:00	27	0
1070000007	2011-04-15	12:30:00	-999	-999
1080000028	2011-03-10	11:20:00	38	0
1080000029	2011-03-21	21:40:00	290	-888
1080000023	2011-04-06	00:50:00	218	0
1020000001	2011-03-09	04:10:00	18	0
1020000005	2011-03-10	17:20:00	24	0
1170000007	2011-03-14	15:50:00	-999	-999
1410000001	2011-03-21	07:10:00	42	0
1270000009	2011-04-04	16:50:00	39	-888
1180000003	2011-04-03	00:10:00	67	0
1080000006	2011-03-16	12:20:00	264	-888
1180000007	2011-03-30	21:30:00	70	0
1020000005	2011-04-01	18:30:00	22	0
1070000003	2011-03-18	12:40:00	-999	-888
1010000005	2011-04-08	13:00:00	31	0
1380000002	2011-03-15	00:20:00	23	-888
1010000008	2011-04-09	23:50:00	31	0
1080000007	2011-04-12	10:10:00	205	-888
1080000027	2011-03-12	18:10:00	-999	-888
1460000003	2011-03-21	03:30:00	27	0
1410000010	2011-03-21	19:10:00	33	-888
1180000023	2011-03-28	17:00:00	-999	-999
1150000003	2011-03-26	03:40:00	40	0
1080000006	2011-03-16	06:20:00	290	-888
1180000024	2011-04-11	16:00:00	35	0
1040000013	2011-03-21	23:20:00	-999	-999
1460000002	2011-03-23	23:30:00	-999	-999
1460000005	2011-04-14	09:40:00	33	0
1410000003	2011-03-20	15:20:00	33	-888
1460000006	2011-03-09	13:10:00	43	0
1220000015	2011-04-05	02:20:00	42	0
1380000033	2011-03-11	10:30:00	12	-888
1180000007	2011-03-15	09:20:00	88	1
1140000008	2011-04-14	21:00:00	62	-888
1170000007	2011-04-09	07:40:00	54	0
1410000009	2011-04-08	03:10:00	42	-888
1070000017	2011-04-11	14:20:00	-999	-888
1070000021	2011-04-10	06:40:00	-999	-888
1270000008	2011-03-13	08:10:00	39	-888
1150000011	2011-03-09	23:10:00	33	0
1080000039	2011-04-04	18:10:00	199	-888
1020000005	2011-03-12	23:10:00	-999	-999
1220000013	2011-04-03	21:50:00	41	0
1020000012	2011-04-05	04:40:00	24	0
1080000034	2011-03-30	10:40:00	276	-888
1380000033	2011-04-08	07:10:00	14	-888
1220000003	2011-03-28	21:50:00	81	0
1080000028	2011-03-19	23:10:00	273	0
1180000004	2011-04-14	09:00:00	59	0
1170000001	2011-04-11	20:00:00	46	0
1020000025	2011-03-21	01:30:00	22	-888
1410000011	2011-03-31	02:50:00	28	-888
1150000009	2011-04-12	08:20:00	38	0
1420000001	2011-03-22	17:00:00	-999	-999
1080000022	2011-04-06	20:00:00	244	-888
1080000001	2011-03-21	21:10:00	561	-888
1070000011	2011-03-22	13:10:00	-999	-888
1140000006	2011-03-12	14:30:00	27	0
1380000031	2011-03-31	04:20:00	19	-888
1410000001	2011-03-23	00:30:00	27	0
1140000007	2011-04-11	21:40:00	62	-888
1040000013	2011-03-21	22:10:00	-999	-999
1270000005	2011-04-14	03:30:00	55	-888
1140000001	2011-04-14	23:40:00	69	0
1180000009	2011-03-29	20:10:00	-999	-999
1380000032	2011-04-14	08:50:00	23	-888
1070000003	2011-03-15	00:30:00	-999	-888
1170000002	2011-04-07	04:00:00	52	0
1080000032	2011-03-29	21:40:00	114	-888
1140000002	2011-04-09	14:00:00	90	-888
1180000012	2011-03-31	14:20:00	43	0
1140000004	2011-03-19	00:40:00	51	-888
1170000009	2011-04-15	17:10:00	41	0
1070000012	2011-03-23	14:20:00	-999	-888
1380000032	2011-03-31	15:10:00	23	-888
1270000014	2011-03-18	12:40:00	58	-888
1270000007	2011-03-14	15:50:00	49	0
1080000020	2011-03-11	03:20:00	47	-888
1010000009	2011-04-13	09:20:00	-999	-999
1140000007	2011-04-03	14:10:00	75	-888
1460000006	2011-03-14	07:00:00	47	0
1270000008	2011-03-19	09:50:00	40	-888
1410000001	2011-03-18	22:30:00	27	0
1040000003	2011-04-01	15:00:00	-999	-888
1220000001	2011-03-14	11:00:00	68	0
1080000039	2011-04-02	17:50:00	213	-888
1070000020	2011-03-21	06:40:00	-999	-888
1330000001	2011-04-08	08:30:00	52	0
