Ticket number,Issue Date 1,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4274486974,2016-01-05,2135,,,CA,201509,,TOYT,PA,SL,4300 TUJUNGA AVENUE,350R1,53,5204A-,DISPLAY OF TABS,25,6447001.3,1876389.9
4272197381,2015-12-30,1218,,,VT,201606,,TOYT,PA,GY,1383 LUCILE AVE,00445,54,80.69BS,NO PARK/STREET CLEAN,73,6476824.1,1854768.2
4272349546,2015-12-30,1949,WA1291,,CA,201610,,PONT,PA,SL,545 ALVARADO ST S,00403,54,88.13B+,METER EXP.,63,6478509.2,1844335
4272583582,2015-12-30,2114,,,CA,201604,,NISS,PA,RD,15317 NORDHOFF STREET,00317,53,22514,FIRE HYDRANT,68,6420904,1908416.7
4273551472,2015-12-30,907,2,,CA,201609,,HOND,PA,WT,806 STANLEY AVE,00174,51,80.58L,PREFERENTIAL PARKING,68,6453634.4,1844648.7
4273607332,2015-12-30,1412,SO801,,CA,,,BMW,PA,BK,13610 VENTURA BL,00363,53,88.13B+,METER EXP.,63,6431636.8,1876439.2
4273764563,2015-12-30,822,,,CA,201608,,TOYT,PA,GY,4427 AMBROSE AVE,00442,54,80.69BS,NO PARK/STREET CLEAN,73,6475148.4,1862522.3
4274074070,2015-12-30,1026,,,CA,201604,,LNDR,PA,GO,3424 MOTOR AVE,00141,51,80.69BS,NO PARK/STREET CLEAN,73,6437656.4,1832598.5
4273493361,2015-12-31,1019,,,CA,201607,,MNNI,PA,BK,1128 LEMOYNE ST,00643,56,5200,DISPLAY OF PLATES,25,6482822.9,1850124.9
4273580636,2015-12-31,812,96,,CA,201601,,DODG,PA,GY,1764 SYCAMORE AVE N,00470,54,80.58L,PREFERENTIAL PARKING,68,6457731,1860091
4273632193,2015-12-31,1210,,,CA,11,,CHEV,PA,WT,13020 HUBBARD STREET,00341,53,80.69BS,NO PARK/STREET CLEAN,73,6435872.5,1938950.1
4273808346,2015-12-31,357,,,CA,201608,,HOND,PA,GN,9810 ZELZAH AVENUE,00317,53,80.56E4+,RED ZONE,93,6403524.4,1913324.5
4273983700,2015-12-31,1026,,,CA,201511,,TOYT,PA,BK,1200 N LAVETA TER,00644,56,80.69BS,NO PARK/STREET CLEAN,73,6484051.3,1849835.1
4274280496,2015-12-31,1118,,,CA,201602,,TOYT,PA,SL,950 ST ANDREWS PL S,00461,54,80.69BS,NO PARK/STREET CLEAN,73,6467388.6,1854570.3
4273503905,2016-01-01,856,,,CA,201610,,MITS,PA,SL,4438 WILLOW BROOK AVE,00472,54,80.56E4+,RED ZONE,93,6474521.6,1855161.5
4273288456,2016-01-03,1629,,,CA,201611,,TOYT,PA,RD,1930 1ST ST E,00600,56,80.56E1,WHITE ZONE,58,6496120.4,1839218.5
4273824192,2016-01-03,1025,72,,CA,201606,,TOYT,PA,WT,1751 NORTH VISTA STREET,00447,54,80.58L,PREFERENTIAL PARKING,68,6455145.6,1859894
4274037563,2016-01-03,1852,BW104,,CA,201611,,MERZ,PA,WT,11600 BARRINGTON CT S,00111,51,88.13B+,METER EXP.,63,6419538.3,1846455.3
1038417656,2015-12-19,2230,,,UT,201510,,CHEV,VN,RE,LAKE ST/GLYNDON,01415,1,80732,EXCEED 72 HOURS,68,,
1109123584,2015-12-20,1438,,,CA,201611,,MAZD,PA,BL,3200 N CANYON LAKE,,4,8049,WRG SD/NOT PRL,63,6462616.8,1869105.2
4271687081,2016-01-04,1213,,,CA,,,CHEV,PA,BK,1851 85TH ST,00554,55,80.69BS,NO PARK/STREET CLEAN,73,,
4273061833,2016-01-04,1122,CB3716,,CA,8,,TOYT,VN,BL,501 MAIN ST S,651B,56,88.13B+,METER EXP.,63,6489050.7,1842906.5
4273275075,2016-01-04,1457,,,CA,201608,,MAZD,PA,BG,2021 HOLLY HILL TER,00411,54,80.56E4+,RED ZONE,93,,
4273505445,2016-01-04,805,,,CA,201602,,TOYT,PA,BK,320 CLARK DR S,00472,54,80.69BS,NO PARK/STREET CLEAN,73,6445125.4,1849292.4
4273603902,2016-01-04,908,LT65,,CA,201610,,FORD,PU,WT,363 2ND ST E,00662,56,88.13B+,METER EXP.,63,6486739.4,1841702.2
4273954871,2016-01-04,1222,,,CA,11,,TOYT,PA,GY,350 CORNWELL ST,00601,56,5204A-,DISPLAY OF TABS,25,6498347.3,1840183.4
4273970783,2016-01-04,829,,,CA,201603,,CHRY,PA,BL,678 14TH ST W,00562,55,80.69BS,NO PARK/STREET CLEAN,73,6472904.2,1724802.5
4274004965,2016-01-04,1818,,,CA,201603,,GMC,PA,SL,619 BROADWAY S,00600,56,80.56E1,WHITE ZONE,58,6485243.6,1839358.3
4274046711,2016-01-04,1854,,,CA,201612,,TOYT,PA,BK,9750 AIRPORT BLVD,00111,51,80.56E1,WHITE ZONE,58,6444609,1803590.8
4274118575,2016-01-04,1213,,,CA,201606,,JEEP,PA,GY,211 HORIZON AVE,00131,51,80.69BS,NO PARK/STREET CLEAN,73,6418683.2,1818929.9
4274167052,2016-01-04,1600,,1455,CA,201604,,FORD,PA,GY,6233 MANCHESTER AVE,00161,51,80.69C,PARKED OVER TIME LIM,58,6442070.3,1807986.3
4274310132,2016-01-04,1333,L89,,CA,201606,,HOND,PA,SL,100 LARCHMONT BL N,00478,54,88.13B+,METER EXP.,63,6463690,1849114.3
4274419052,2016-01-04,1025,,,CA,,,ACUR,PA,WT,5138 ZELZAH AVE,00377,53,80.69BS,NO PARK/STREET CLEAN,73,6403753.2,1882507.9
4274632681,2016-01-04,1025,,,CA,201602,,NISS,PA,BK,115 EAST 89TH STREET,00554,55,80.69BS,NO PARK/STREET CLEAN,73,,
4271461994,2016-01-05,1615,,,CA,201511,,TOYT,PA,WT,5236 BELLAIRE AVENUE,00300,53,22500F,PARKED ON SIDEWALK,68,,
4272603720,2016-01-05,338,537,,CA,201610,,CHEV,PA,WT,1730 ARDMORE AVE S,00500,55,80.54H1,OVNIGHT PRK W/OUT PE,68,6469941.2,1837807.3
4274464445,2016-01-05,1219,,,CA,2,,FORD,VN,WT,509 S LOMA DR,00642,56,80.69BS,NO PARK/STREET CLEAN,73,,
4274488282,2016-01-05,1915,,,CA,201604,,OTHR,PA,BK,15713 BLACKHAWK STREET,00319,53,22502A,18 IN. CURB/2 WAY,63,,
4274488326,2016-01-05,2008,,,CA,201602,,NISS,PA,SL,14911 CHASE STREET,00319,53,80.69B,NO PARKING,73,6423239.5,1904475.4
4274628746,2016-01-05,1303,,,CA,201602,,LINC,PA,BK,2400 BARRINGTON AVE,00151,51,22507.8C,DISABLED PARKING/CRO,363,6426624.9,1834184.3
4274642164,2016-01-05,1015,,,CA,201611,,KIA,PA,BK,225 S WITMER ST,647R1,56,80.69BS,NO PARK/STREET CLEAN,73,6482337.1,1844437.5
1103170552,2015-12-24,1000,,,CA,201509,,BMW,PA,SI,R/O 15260 RAYEN,9TL53,1,8061,STNDNG IN ALLEY,68,,
1107635966,2015-12-28,1235,,,CA,201504,,CHEV,TR,WH,2914 CHADWICK DR,,1,4000A1,NO EVIDENCE OF REG,50,,
1112103440,2015-12-28,1150,,,CA,201605,,CADI,PA,BK,301 WORLD WAY,5M31,2,8940,PARKING AREA,58,6437963.6,1802392.9
